,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Stopa zwrotu,Stopa otwarcie-zamkniecie,Stopa zamkniecie-otwarcie
196,2022-10-12,3.32,3.32,3.206,3.25,901125,-0.01708400305718638,-0.021309786586750867,0.014054615705578977
197,2022-10-13,3.2,3.326,3.152,3.326,1492830,0.02311538442908989,0.038619570965055194,-0.001805597842339024
198,2022-10-14,3.422,3.486,3.396,3.408,791821,0.02435522819633329,-0.004099566502932417,-0.06297479916138848
199,2022-10-17,3.4,3.48,3.37,3.48,326152,0.02090668481931357,0.023256862164267256,-0.016807118316381153
200,2022-10-18,3.52,3.644,3.512,3.598,677742,0.033345841741958315,0.0219171459183356,-0.05660270390622557
201,2022-10-19,3.58,3.58,3.418,3.446,529079,-0.04316399742260324,-0.03814866230687097,0.02124685150426764
202,2022-10-20,3.406,3.578,3.37,3.574,929835,0.03647127863149824,0.04814683449673973,0.0016773836753727345
203,2022-10-21,3.54,3.68,3.464,3.546,1450064,-0.007865209085220037,0.0016934805063331115,-0.040281625411519695
204,2022-10-24,3.64,3.77,3.48,3.754,1485802,0.05700173051230095,0.03083825651566774,-0.058695211018634064
205,2022-10-25,3.758,3.978,3.712,3.95,1664235,0.0508936407487135,0.04982867792175716,-0.08173189726438124
206,2022-10-26,3.98,4.126,3.95,4.08,1481615,0.03238140950303969,0.024815169119724034,-0.08221008742479685
207,2022-10-27,4.09,4.224,3.976,4.2,1383220,0.028987536873252395,0.026539555234612378,-0.05380270599297643
208,2022-10-28,4.192,4.356,4.054,4.3,1103715,0.023530497410193973,0.025437075680775578,-0.05007005264480635
209,2022-10-31,4.3,4.436,4.25,4.36,683255,0.013857034661426404,0.013857034661426404,-0.03929411034220198
210,2022-11-02,4.37,4.43,4.262,4.322,1283136,-0.008753799276248753,-0.011044751022804444,-0.005103235385177651
211,2022-11-03,4.28,4.28,4.11,4.236,1936455,-0.02009883034553428,-0.01033358185454536,0.031143581368338724
212,2022-11-04,4.202,4.45,4.202,4.432,1793354,0.045231521705822786,0.05329034702217417,-0.034897939851277426
213,2022-11-07,4.48,4.64,4.426,4.53,983706,0.02187099004995985,0.011098893068048898,-0.07516133707213402
214,2022-11-08,4.59,4.678,4.51,4.66,724175,0.02829350864261193,0.015135424065100933,-0.03939240171066083
215,2022-11-09,4.68,4.95,4.622,4.918,1131265,0.05388649565644621,0.04960383386444556,-0.06902191972154714
216,2022-11-10,4.9,5.09,4.76,5.03,2147671,0.022518040317647037,0.026184778995066882,-0.0721218741820926
217,2022-11-14,5.055,5.235,5.025,5.105,1675590,0.014800467504981096,0.009842599144194386,-0.04098524650004798
218,2022-11-15,5.15,5.16,4.868,4.95,1959657,-0.03083287503603005,-0.03960913809504585,0.020990275891835664
219,2022-11-16,4.85,4.968,4.722,4.9,1896843,-0.010152371464017929,0.010256500167189264,0.04976150955906378
220,2022-11-17,4.88,4.928,4.7,4.82,1042640,-0.016461277054071966,-0.012371291802546702,0.006204776886882701
221,2022-11-18,4.8,4.916,4.732,4.862,664222,0.00867594783142267,0.012833957980086463,0.003695343971124032
222,2022-11-21,4.8,4.858,4.564,4.624,1559899,-0.050189744523855495,-0.03735578654376903,0.03735578654376903
223,2022-11-22,4.59,4.68,4.58,4.628,584335,0.0008646779613539213,0.008244785258976428,0.03649110858241511
