,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Stopa zwrotu,Stopa otwarcie-zamkniecie,Stopa zamkniecie-otwarcie
86,2022-05-09,28.4496,28.7382,27.9469,27.9469,1988031.7187279,-0.026301601226913718,-0.017827819613137397,0.031477835532210285
87,2022-05-10,28.1145,28.3286,27.2208,27.7887,5049748.48004,-0.005676817863244477,-0.011655994241847711,0.023504637476381873
88,2022-05-11,28.1052,28.1052,26.9229,27.0905,6426962.1809198,-0.025446350321288058,-0.0367714996783417,0.03710234456313577
89,2022-05-12,26.476,27.4908,26.0199,26.9508,8569172.9835585,-0.005170131406336154,0.01777431925886397,0.041941631084677855
90,2022-05-13,27.4628,28.431,27.3046,28.3472,6317921.1797015,0.050515278348495674,0.03169589822571828,-0.06828959760735964
91,2022-05-16,28.3938,29.4178,27.9842,28.3379,5694790.9202641,-0.00032812855877262237,-0.0019706801696761644,-0.031367769666945655
92,2022-05-17,28.8127,29.5109,28.161,29.092,6034300.2838707,0.026263090987030946,0.00964696012784838,-0.02429241081735478
93,2022-05-18,29.3247,30.1253,29.2037,29.5016,5762466.3560175,0.013981276870826953,0.006014334854938852,-0.023628236998675334
94,2022-05-19,28.9151,29.1106,28.2076,28.5148,4487546.7370206,-0.0340212484315745,-0.013940699285242886,0.02800691357663565
95,2022-05-20,28.8686,28.9523,28.2262,28.2355,2559571.3012286,-0.009843199245743506,-0.02217444776762134,0.02378389853098639
96,2022-05-23,28.6544,29.7902,28.6544,29.7902,2990874.6453803,0.0535994288791537,0.03887247133461935,-0.03142498111153236
97,2022-05-24,29.5109,30.2557,29.3061,29.6785,2608926.6113229,-0.0037566024264776843,0.005663191312465177,-0.03511586890814167
98,2022-05-25,30.0043,30.2091,29.334,29.6226,2747489.2785329,-0.0018852944231144697,-0.012803121208883272,-0.003777896889350707
99,2022-05-26,29.6133,30.0415,29.2502,29.9298,2356066.9842402,0.010317056068312791,0.010631054845284815,0.0024860651405704814
100,2022-05-27,29.9298,29.9391,28.8406,28.9151,2728919.9433076,-0.034490689566887944,-0.034490689566887944,0.02385963472160313
101,2022-05-30,29.3899,30.1533,29.2596,30.1533,2174120.3689142,0.04193041990320934,0.02564329201282467,-0.007439730336321393
102,2022-05-31,30.1067,30.1067,29.2409,29.6785,5672957.1545563,-0.015871491981519714,-0.014324860408695184,-0.009771800031304956
103,2022-06-01,29.8554,30.0136,29.334,29.3526,1845757.7625028,-0.01104174955722037,-0.016984599618715457,0.025366609965915554
104,2022-06-02,29.5947,29.753,29.0454,29.2875,1767472.6591368,-0.0022203245473448874,-0.010434487409955562,0.019204924166060344
105,2022-06-03,29.6971,29.6971,28.5241,28.7568,1691405.7357465,-0.018286542818280793,-0.03217513692798013,0.028721030228236355
106,2022-06-06,29.0454,30.0974,28.9523,30.0974,1661878.698859,0.04556452827079749,0.035578666203247344,-0.013389391342817358
107,2022-06-07,29.9578,29.9578,29.1944,29.3061,2868626.6113283,-0.02664310380589452,-0.021994039230621265,-0.008935562397352825
108,2022-06-08,29.334,29.455,28.161,28.3845,3135913.5387761,-0.031952463950458476,-0.032904031294485936,0.05394650318107974
109,2022-06-09,28.3845,28.6265,27.649,27.6769,2905058.4718884,-0.025245091272083187,-0.025245091272083187,0.05814912256656912
110,2022-06-10,27.649,27.649,26.6622,26.9694,3212132.9956078,-0.025895240294868227,-0.024886670985918347,0.051140331566951414
111,2022-06-13,26.5319,26.5505,25.303,25.4985,3478265.1804532,-0.05608326305832945,-0.03972815571778998,0.0809699340442478
112,2022-06-14,26.0106,26.3643,25.5823,26.2154,2601754.3170382,0.02772739744311492,0.007842877102665291,0.01200075827467506
113,2022-06-15,26.4481,26.9415,25.7871,26.9415,3141226.4289262,0.027320824371577235,0.01848352664373376,-0.035163701474242526
114,2022-06-17,26.0664,26.6995,25.9361,26.1502,4887355.1480544,-0.02981101005424769,0.0032097100134422796,0.011327483410513928
115,2022-06-20,26.3922,26.867,26.3922,26.5226,1009713.3765917,0.01414036106257699,0.004928687776295515,-0.01735007107601927
116,2022-06-21,26.8112,27.258,26.5598,26.6995,1002357.3976698,0.006647638911280396,-0.00417487202522393,-0.01157632668757591
117,2022-06-22,26.4853,26.6529,26.1223,26.4109,1603527.1382578,-0.01086803490994237,-0.002813058369502297,0.0150429069351663
118,2022-06-23,26.3457,26.8577,25.964,25.964,2271285.2452843,-0.017065840557934475,-0.014594110643775249,0.019878898927436772
119,2022-06-24,26.0664,27.0253,25.8709,26.9136,1677307.1342059,0.035920771884158764,0.031984606403581584,-0.021326661240383515
120,2022-06-27,27.1835,27.2766,26.625,26.7646,2538008.2286704,-0.0055516162124273905,-0.015530052745011957,-0.026432990191154193
121,2022-06-28,26.9974,27.528,26.7832,27.4163,3536556.5870211,0.02405760818480518,0.015397161956511862,-0.008527555439793222
122,2022-06-29,27.2487,27.2487,26.6622,26.7367,3770257.1545168,-0.025100573590471242,-0.018968660111959856,0.00970341163395938
123,2022-06-30,26.5226,26.5226,25.8244,26.0664,3824054.1954584,-0.02539002478548813,-0.01735007107601927,0.044358684897447986
124,2022-07-01,26.0571,26.8205,25.6009,25.6009,4182520.6729689,-0.018019621534248742,-0.017662776729172602,0.03536969261026801
125,2022-07-04,25.6009,25.6661,24.0742,25.0424,5992479.2664397,-0.02205711883328121,-0.02205711883328121,0.03971989556245381
126,2022-07-05,25.3589,25.7127,24.0928,24.3628,4256615.4034122,-0.02751300951922353,-0.04007237446891798,0.04957012835250474
127,2022-07-06,24.67,24.8096,23.9066,24.549,2718247.9733033,0.00761374144830862,-0.004916810327911136,0.03245863302060936
128,2022-07-07,24.7259,25.3868,24.5769,24.5769,5146837.0896893,0.0011358571751216573,-0.006044299862270286,0.003780953152789479
129,2022-07-08,24.5769,25.8337,24.2511,25.7871,5463178.5570652,0.048067389497413515,0.048067389497413515,-0.04202308963514323
130,2022-07-11,25.4148,25.6103,25.061,25.2751,2895006.3032624,-0.020054645508447155,-0.0055119601219768555,-0.02801274398896636
131,2022-07-12,25.1355,25.1727,24.4186,24.5117,7500747.1221662,-0.030669166797551828,-0.025130634946861186,0.03618112691952868
132,2022-07-13,24.67,24.9493,23.8973,24.4838,6348946.6965242,-0.0011388802243321727,-0.00757625618570712,0.02626951517119336
133,2022-07-14,24.4931,24.67,23.5901,23.646,5712368.7881202,-0.03481770691463648,-0.03519747779077509,0.0423939631003436
134,2022-07-15,23.9066,24.1673,23.5529,23.888,2191311.5322709,0.01018227335591293,-0.000778330645679226,0.02501520443486216
135,2022-07-18,24.2045,24.549,24.0556,24.3162,4670931.6782485,0.017766554092828457,0.0046042286004346344,-0.01698822344714923
136,2022-07-19,24.3162,24.7817,24.0742,24.67,3636016.9842668,0.014445135651602214,0.014445135651602214,-0.01904936425203685
137,2022-07-20,25.0238,25.2286,24.4373,24.6141,3217018.3624502,-0.0022684810708448744,-0.016507922533175456,-0.01217665458075734
138,2022-07-21,24.7538,24.8841,24.2138,24.7445,1588373.6927772,0.005283792627039929,-0.0003757704854279176,0.011224129906135527
139,2022-07-22,24.7445,25.0051,24.521,24.5955,1637800.9728755,-0.0060397427215646005,-0.0060397427215646005,0.006415513206992518
140,2022-07-25,24.6421,25.182,24.4838,24.7165,1913699.5946891,0.004907537428866515,0.0030146744983539087,0.0011322052926980852
141,2022-07-26,24.7165,24.9307,23.6739,23.9718,2765406.5870051,-0.03059289731053827,-0.03059289731053827,0.02757822281218436
142,2022-07-27,24.0835,24.1487,23.3853,23.7391,3512377.8881961,-0.0097546617305726,-0.014403480952059233,0.04034755904111087
143,2022-07-28,24.0183,24.2045,23.5994,23.8601,4889374.6048846,0.005084130012172228,-0.006608432016686372,0.009319350939887006
144,2022-07-29,24.1301,24.4093,23.8322,24.3814,3217962.5659363,0.02161293874672987,0.010360522675385564,-0.015004506730043499
145,2022-08-01,24.6141,25.0889,24.4931,25.061,2801727.8071113,0.027492306379064413,0.017993403431197486,-0.03785282905444998
146,2022-08-02,25.1075,25.1075,24.428,24.67,4509610.3770697,-0.01572492236035261,-0.017578675744091665,-0.0022684810708448744
147,2022-08-03,24.9,25.18,24.27,24.6,4685322.0,-0.002841487602948334,-0.012121360532344916,0.02042016334704
148,2022-08-04,24.79,24.83,23.77,23.95,6026965.0,-0.026778119081392937,-0.03447202219017509,0.03889947961373785
149,2022-08-05,24.06,24.54,23.9,24.03,3590549.0,0.0033347258914533384,-0.0012476607981555254,0.03113729629872175
150,2022-08-08,24.3,25.19,24.1,25.13,4050346.0,0.044759301807123286,0.03358600120899791,-0.04351164100896776
151,2022-08-09,25.1,25.95,25.0,25.0,3986544.0,-0.00518652668730013,-0.003992021269537904,-0.028399474521697776
152,2022-08-10,24.99,25.49,24.56,25.04,2942288.0,0.0015987213636972086,0.0019988013850369413,0.0023932999058406956
153,2022-08-11,25.3,25.5,25.01,25.5,2927588.0,0.018203905932482556,0.007874056430905885,-0.020202707317519497
154,2022-08-12,25.47,25.74,25.18,25.35,2120508.0,-0.005899722127188145,-0.004722558954173284,-0.0019743343037177397
155,2022-08-16,25.5,25.74,24.9,25.37,2566695.0,0.0007886435739985487,-0.005111078553189596,0.003933915380174735
156,2022-08-17,25.38,25.53,24.09,24.09,4194720.0,-0.05177055698441091,-0.05216464565946177,0.056881635537600506
157,2022-08-18,24.43,24.77,23.97,24.7,3044913.0,0.02500642700715172,0.010991358364282444,0.02715821865231005
158,2022-08-19,24.26,25.24,24.12,24.73,4660524.0,0.001213837899393333,0.019188178017420565,-0.012205196263675777
159,2022-08-22,24.65,25.07,23.95,24.25,3380492.0,-0.019600464149832852,-0.016360283105206985,0.0004122861324122873
160,2022-08-23,24.1,24.45,23.91,24.05,2980753.0,-0.008281620831721792,-0.0020768439448390907,0.024641903936928777
161,2022-08-24,23.94,24.14,23.4,23.48,3504535.0,-0.023986001591874473,-0.01940170516993156,0.026062845536713564
162,2022-08-25,23.71,24.57,23.7,24.48,3074675.0,0.04170746268422976,0.03195955756681146,-0.022305757514298197
163,2022-08-26,24.6,24.6,23.37,23.56,2926897.0,-0.038306098860739546,-0.043196084154931036,0.006346541293928087
164,2022-08-29,23.12,23.35,22.92,23.17,2243966.0,-0.016692020339101,0.0021602946401082512,0.059888104494032035
165,2022-08-30,23.3,23.68,22.8,22.87,2354019.0,-0.013032330409595172,-0.018627352536964903,0.01087203576948692
166,2022-08-31,23.11,23.76,22.66,23.52,5072747.0,0.028025114995736455,0.017585698744136735,-0.009397762458771552
167,2022-09-01,23.4,23.4,22.03,22.09,4739512.0,-0.0627261055984003,-0.05761100493162985,0.04514040685426357
168,2022-09-02,22.56,23.5,22.24,23.39,10481737.0,0.05718356316406181,0.03613015396622954,0.00042744176756803753
169,2022-09-05,23.0,23.12,22.64,22.84,3533432.0,-0.02379519580827827,-0.0069808311413401825,-0.01233495815795127
170,2022-09-06,22.9,23.0,22.35,22.77,3544982.0,-0.003069504712161386,-0.005693030484545947,0.010050335853501569
171,2022-09-07,22.5,22.64,22.1,22.51,4936438.0,-0.011484225157007089,0.0004443457082667912,0.017177255641553035
172,2022-09-08,22.8,23.34,22.66,23.13,3662496.0,0.02717082132470683,0.014369940282952687,-0.02761516703297362
173,2022-09-09,23.4,24.43,23.37,24.29,4218790.0,0.04893426677073309,0.03732872065042514,-0.06330420705368578
174,2022-09-12,24.7,25.33,24.2,25.31,3972851.0,0.04113483154295183,0.024396330923101228,-0.07846355219337697
175,2022-09-13,25.35,25.46,24.0,24.51,4480701.0,-0.03211837701701148,-0.03369753249717089,0.007722046093910251
176,2022-09-14,24.02,24.64,24.0,24.39,2879852.0,-0.004907985312192498,0.015286395575991207,0.03860551780936339
177,2022-09-15,24.59,24.88,24.36,24.6,2956438.0,0.008573230710488211,0.00040658671021587267,-0.02385962628647942
178,2022-09-16,24.29,24.4,23.22,23.66,7121101.0,-0.03896058438807648,-0.026278884463840413,0.03855399767786061
179,2022-09-19,23.66,24.45,23.5,24.31,2078717.0,0.027101929777791245,0.027101929777791245,-0.000823045313950832
180,2022-09-20,24.51,24.99,23.57,23.72,3624743.0,-0.024569214198506995,-0.032762623410496516,-0.0025327155792842504
181,2022-09-21,23.6,23.76,23.22,23.29,3041792.0,-0.01829449023327534,-0.013222628135315162,0.051057113643771856
182,2022-09-22,22.9,23.6,22.72,23.35,1791290.0,0.0025729002186567485,0.019460073554712132,0.010649727916658414
183,2022-09-23,23.31,23.31,22.6,22.68,2310297.0,-0.029113505255355054,-0.027398974188114433,0.009653431700642923
184,2022-09-26,22.51,22.92,22.11,22.45,3264348.0,-0.010192864671287882,-0.0026690407303777697,0.037591838859402316
185,2022-09-27,22.8,23.1,22.49,22.71,2816094.0,0.011514741929203876,-0.003955179842928036,-0.008845701198826106
186,2022-09-28,22.2,22.67,21.6,22.46,4775724.0,-0.011069406807170168,0.011643660432063108,0.015024586650098204
187,2022-09-29,22.55,22.78,21.65,21.75,6199573.0,-0.03212219177560405,-0.03612130841399441,0.02047853134354094
188,2022-09-30,21.92,22.08,21.31,21.84,4641703.0,0.004129393342011234,-0.003656311203110718,0.03199191507198318
189,2022-10-03,21.74,21.89,21.14,21.8,3615583.0,-0.0018331810816607508,0.0027560881019801364,0.005489492284771469
190,2022-10-04,22.2,22.97,22.11,22.94,2805729.0,0.05097214190618127,0.03278982282299081,-0.053728230008161404
191,2022-10-05,22.9,22.93,22.0,22.0,2141805.0,-0.04183965834290859,-0.04009445720187799,0.009049835519917782
192,2022-10-06,22.3,22.62,22.0,22.11,3385326.0,0.004987541511038973,-0.008556683596717907,0.03510691569083901
193,2022-10-07,22.11,22.4,22.0,22.2,3300350.0,0.004062294008878808,0.004062294008878808,0.004494389587839098
