Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-04-04,4.59,4.6,4.506,4.542,718048
2023-04-05,4.578,4.6,4.48,4.55,1600186
2023-04-06,4.546,4.68,4.45,4.63,601530
2023-04-11,4.62,4.818,4.6,4.812,1911673
2023-04-12,4.81,5.18,4.752,5.11,3095303
2023-04-13,5.1,5.39,5.07,5.365,3959923
2023-04-14,5.36,5.435,5.165,5.3,2178281
2023-04-17,5.26,5.395,5.26,5.31,792593
2023-04-18,5.35,5.535,5.21,5.415,1146524
2023-04-19,5.4,5.405,5.27,5.37,1124450
2023-04-20,5.305,5.49,5.17,5.195,1107435
2023-04-21,5.18,5.18,4.96,5.03,1447499
2023-04-24,5,5.02,4.934,4.96,1113999
2023-04-25,5.005,5.07,4.92,4.934,610354
2023-04-26,4.91,4.998,4.84,4.902,1240013
2023-04-27,4.9,5.1,4.9,5.05,1082130
2023-04-28,5.15,5.18,4.912,4.93,1525698
2023-05-02,4.96,5.135,4.886,4.896,2498548
2023-05-04,4.9,4.96,4.714,4.72,1939689
2023-05-05,4.72,4.84,4.678,4.83,1618927
2023-05-08,4.84,4.968,4.84,4.898,686940
2023-05-09,4.92,4.92,4.764,4.778,745303
2023-05-10,4.834,4.88,4.762,4.78,758030
2023-05-11,4.82,4.9,4.7,4.732,873355
2023-05-12,4.73,4.846,4.704,4.846,846523
2023-05-15,4.846,4.872,4.686,4.7,703068
2023-05-16,4.744,4.78,4.65,4.68,496910
2023-05-17,4.68,4.74,4.612,4.7,536614
2023-05-18,4.74,4.79,4.654,4.656,767335
2023-05-19,4.66,4.834,4.66,4.824,1084844
2023-05-22,4.84,4.938,4.812,4.888,706438
2023-05-23,4.916,4.948,4.828,4.882,463909
2023-05-24,4.88,4.88,4.65,4.68,1120043
2023-05-25,4.682,4.738,4.64,4.652,754560
2023-05-26,4.64,4.76,4.634,4.748,426510
2023-05-29,4.77,4.794,4.72,4.784,245458
2023-05-30,4.77,4.77,4.628,4.634,415429
2023-05-31,4.632,4.666,4.438,4.454,1636421
2023-06-01,4.502,4.66,4.502,4.65,530998
2023-06-02,4.6,4.844,4.6,4.83,1810342
2023-06-05,4.84,4.87,4.638,4.66,2464222
2023-06-06,4.69,4.77,4.634,4.742,1821438
2023-06-07,4.738,4.798,4.66,4.71,3933478
2023-06-09,4.722,4.756,4.64,4.7,1961404
2023-06-12,4.7,4.7,4.56,4.564,1415360
2023-06-13,4.52,4.596,4.454,4.49,2330966
2023-06-14,4.49,4.738,4.49,4.716,3383598
2023-06-15,4.7,5,4.668,4.91,6596917
2023-06-16,4.91,4.912,4.712,4.752,3916623
2023-06-19,4.714,4.886,4.714,4.76,1681255
2023-06-20,4.76,4.964,4.722,4.89,1212788
2023-06-21,4.928,5.09,4.882,5.05,1190448
2023-06-22,5.05,5.305,4.964,5.265,2105600
2023-06-23,5.25,5.29,5.14,5.215,1286701
2023-06-26,5.23,5.715,5.165,5.68,2735300
2023-06-27,5.7,6.02,5.695,5.88,3524648
2023-06-28,5.88,6,5.785,5.955,2128730
2023-06-29,5.925,5.94,5.74,5.85,1257335
2023-06-30,5.83,5.85,5.635,5.76,1536267
2023-07-03,5.755,5.94,5.755,5.845,1065624
2023-07-04,5.865,5.865,5.62,5.675,744498
2023-07-05,5.67,5.67,5.52,5.56,1417573
2023-07-06,5.51,5.68,5.5,5.62,1576732
2023-07-07,5.62,5.74,5.61,5.66,1050825
2023-07-10,5.655,5.66,5.555,5.6,533026
2023-07-11,5.66,5.84,5.595,5.77,689513
2023-07-12,5.84,6.22,5.825,6.17,2634546
2023-07-13,6.2,6.365,6.135,6.22,1795052
2023-07-14,6.22,6.65,6.19,6.535,2787885
2023-07-17,6.65,6.7,6.4,6.59,2314144
2023-07-18,6.64,6.7,6.58,6.7,1382306
2023-07-19,6.7,6.83,6.64,6.78,922035
2023-07-20,6.785,6.865,6.59,6.62,932677
2023-07-21,6.61,6.67,6.45,6.605,699301
2023-07-24,6.68,6.78,6.595,6.645,1110315
2023-07-25,6.63,6.645,6.44,6.62,1381292
2023-07-26,6.68,6.78,6.51,6.53,697341
2023-07-27,6.53,6.625,6.48,6.55,1040325
2023-07-28,6.51,6.64,6.51,6.6,735013
2023-07-31,6.6,6.635,6.53,6.55,795434
2023-08-01,6.55,6.59,6.32,6.35,959857
2023-08-02,6.32,6.34,6.13,6.315,819640
2023-08-03,6.31,6.31,6.12,6.255,760310
2023-08-04,6.275,6.415,6.2,6.27,801179
2023-08-07,6.25,6.27,6.125,6.17,382421
2023-08-08,6.17,6.175,5.95,6.02,1076578
2023-08-09,6.025,6.24,6.025,6.16,529222
2023-08-10,6.2,6.24,6.12,6.125,589459
2023-08-11,6.24,6.24,5.965,6.125,612958
2023-08-14,6.005,6.15,5.935,6.03,462063
2023-08-16,5.96,5.98,5.45,5.715,2045267
2023-08-17,5.715,5.795,5.595,5.685,822483
2023-08-18,5.7,5.885,5.61,5.86,957819
2023-08-21,5.895,5.99,5.895,5.91,855175
2023-08-22,5.91,5.945,5.825,5.845,398987
2023-08-23,5.825,5.98,5.78,5.945,430618
2023-08-24,5.99,6.095,5.96,5.975,638443
2023-08-25,5.985,5.985,5.785,5.785,422412
2023-08-28,5.83,5.975,5.795,5.95,398453
2023-08-29,6.01,6.27,6.01,6.22,1545964
2023-08-30,6.28,6.335,6.145,6.175,752727
2023-08-31,6.11,6.24,6.01,6.075,1170461
2023-09-01,6.1,6.1,5.965,6.035,489406
2023-09-04,6,6.06,5.82,5.82,612915
2023-09-05,5.81,5.96,5.78,5.82,484708
2023-09-06,5.82,5.87,5.3,5.54,2046078
2023-09-07,5.525,5.62,5.39,5.43,1475589
2023-09-08,5.46,5.59,5.42,5.565,655041
2023-09-11,5.6,5.65,5.43,5.46,876984
2023-09-12,5.465,5.48,5.385,5.445,696515
2023-09-13,5.475,5.56,5.42,5.55,412597
2023-09-14,5.57,5.685,5.5,5.63,651812
2023-09-15,5.66,5.775,5.63,5.71,1692376
2023-09-18,5.74,5.74,5.41,5.445,882591
2023-09-19,5.5,5.565,5.45,5.51,272244
2023-09-20,5.51,5.59,5.445,5.58,944591
2023-09-21,5.57,5.57,5.41,5.45,453225
2023-09-22,5.41,5.5,5.41,5.42,269622
2023-09-25,5.42,5.46,5.31,5.355,314119
2023-09-26,5.35,5.43,5.255,5.39,618410
2023-09-27,5.45,5.5,5.39,5.42,400967
2023-09-28,5.42,5.55,5.34,5.55,598713
2023-09-29,5.54,5.745,5.46,5.7,956659
2023-10-02,5.64,5.735,5.5,5.505,570720
2023-10-03,5.47,5.7,5.44,5.66,997032
2023-10-04,5.54,5.86,5.475,5.845,1393212
2023-10-05,5.88,6.02,5.85,5.995,1497221
2023-10-06,5.99,6.435,5.96,6.325,2375535
2023-10-09,6.28,6.445,6.17,6.275,1385656
2023-10-10,6.275,6.63,6.275,6.57,3051265
2023-10-11,6.55,6.765,6.55,6.69,4440966
2023-10-12,6.64,6.8,6.625,6.715,2125257
2023-10-13,6.73,6.82,6.66,6.78,1577724
2023-10-16,6.97,7.48,6.97,7.4,3803581
2023-10-17,7.4,7.62,7.125,7.46,2777726
2023-10-18,7.405,7.5,7.215,7.285,1413730
2023-10-19,7.15,7.2,7.005,7.03,1090208
2023-10-20,7,7.175,6.815,7,1235988
2023-10-23,7,7.075,6.91,6.995,1299043
2023-10-24,6.98,7.34,6.98,7.16,1490620
2023-10-25,7.22,7.475,7.13,7.455,895611
2023-10-26,7.3,7.58,7.21,7.435,1506352
2023-10-27,7.54,7.54,7.28,7.32,1770703
2023-10-30,7.4,7.46,7.3,7.37,600551
2023-10-31,7.38,7.49,7.275,7.32,638104
2023-11-02,7.46,7.46,7.01,7.02,1289140
2023-11-03,7.015,7.245,7.015,7.195,675597
2023-11-06,7.15,7.485,7.15,7.4,778498
2023-11-07,7.36,7.58,7.32,7.405,775876
2023-11-08,7.4,7.495,7.25,7.425,896513
2023-11-09,7.425,7.51,7.335,7.505,2066932
2023-11-10,7.51,7.565,7.38,7.4,611037
2023-11-13,7.42,7.675,7.42,7.45,512596
2023-11-14,7.445,7.75,7.445,7.715,739193
2023-11-15,7.755,7.85,7.585,7.645,701271
2023-11-16,7.645,7.85,7.55,7.7,1064120
2023-11-17,7.735,7.78,7.6,7.7,636870
2023-11-20,7.7,8.03,7.7,7.95,1374739
2023-11-21,8,8.04,7.845,7.91,891950
2023-11-22,7.91,7.94,7.745,7.88,653211
2023-11-23,7.975,7.975,7.66,7.67,891862
2023-11-24,7.715,7.795,7.585,7.65,418274
2023-11-27,7.69,7.765,7.435,7.65,1085288
2023-11-28,7.65,8.15,7.65,8.12,2110380
2023-11-29,8.11,8.26,7.96,8.185,973829
2023-11-30,8.2,8.25,7.945,7.945,1376690
2023-12-01,8.12,8.255,7.985,8.105,667383
2023-12-04,8.135,8.3,8.08,8.08,543764
2023-12-05,8.08,8.42,8.06,8.215,1075103
2023-12-06,8.215,8.35,8.025,8.025,1628175
2023-12-07,8.055,8.055,7.685,7.935,2033531
2023-12-08,7.85,8.145,7.85,8.07,971586
